Id,Account__c,Address__City__s,Address__CountryCode__s,Address__GeocodeAccuracy__s,Address__Latitude__s,Address__Longitude__s,Address__PostalCode__s,Address__StateCode__s,Address__Street__s,Average_Review_Score__c,Cuisine__c,Description__c,LastActivityDate,Menu_Count__c,Name,OwnerId,Phone__c,Primary_Contact__c,Status__c,Total_Reviews__c,Total_Score__c,Type__c
a09Ws00000AJiIvIAL,001Ws00003av0RgIAI,Dallas,US,,,,75219,TX,2401 Victory Avenue,,Italian,"Urban Table reimagines modern dining with dishes like wild mushroom risotto, grilled ribeye, and lemon thyme chicken. With its chic decor and diverse menu, it’s perfect for a sophisticated night out.",,1,Urban Table,005Ws000003miUrIAI,,003Ws000008VfX4IAK,Active,0,0,Fine Dining
a09Ws00000AJiIwIAL,001Ws00003av0RhIAI,Dallas,US,,,,75208,TX,330 West Davis Street,,Comfort Food,"Your go-to destination for hearty comfort food, featuring dishes like fried chicken, creamy mac and cheese, and beef pot pie. Perfect for satisfying your cravings in a warm and inviting setting.",,1,The Savory Spot,005Ws000003miUrIAI,,003Ws000008VfX3IAK,Active,0,0,Casual Dining
a09Ws00000AJiIxIAL,001Ws00003av0RiIAI,Dallas,US,,,,75226,TX,2615 Elm Street,3.3,Fusion,"Discover bold global flavors at Fusion Bites, where dishes like Korean BBQ tacos, Mediterranean flatbreads, and Thai-inspired salads take center stage. This trendy bistro is perfect for adventurous eaters craving something unique.",,1,Fusion Bites,005Ws000003miUrIAI,,003Ws000008VfWxIAK,Active,7,23,Trendy Bistro
a09Ws00000AJiIyIAL,001Ws00003av0RjIAI,Dallas,US,,,,75212,TX,3011 Gulden Lane,4.1,Vegan,"The Green Fork specializes in vibrant vegan and vegetarian dishes, including quinoa power bowls, avocado toasts, and roasted veggie wraps. A must-visit for plant-based food lovers seeking healthy and flavorful meals.",,1,The Green Fork,005Ws000003miUrIAI,,003Ws000008VfX0IAK,Active,8,33,Cafe
a09Ws00000AJiIzIAL,001Ws00003av0RkIAI,Dallas,US,,,,75204,TX,2720 McKinney Avenue,3.6,Deli,"Trailside Deli offers freshly made sandwiches, crisp salads, and comforting soups. Popular picks include the turkey avocado club, Italian hoagie, and creamy tomato basil soup. Perfect for a quick, satisfying meal.",,1,Trailside Deli,005Ws000003miUrIAI,,003Ws000008VfWzIAK,Active,8,29,Deli
a09Ws00000AJiJ0IAL,001Ws00003av0RlIAI,Dallas,US,,,,75201,TX,2800 Routh Street,3.4,Marketplace,"A dynamic food hall offering a variety of delicious options, including wood-fired pizzas, gourmet burgers, and fresh salads. Perfect for group dining or solo indulgence, Munch Central is where food lovers come together.",,1,Munch Central,005Ws000003miUrIAI,,003Ws000008VfX2IAK,Active,5,17,Food Hall
a09Ws00000AJiJ1IAL,001Ws00003av0RmIAI,Dallas,US,,,,75204,TX,2140 North Hall Street,4,Fine Dining,"Indulge in an upscale dining experience where seasonal ingredients and creative techniques take center stage. Artisan’s Edge serves refined dishes like truffle-infused risotto, seared scallops, and expertly prepared steak. Perfect for an elegant night out or celebrating special occasions.",,1,Artisan’s Edge,005Ws000003miUrIAI,,003Ws000008VfWvIAK,Active,5,20,Upscale Restaurant
a09Ws00000AJiJ2IAL,001Ws00003av0RnIAI,Dallas,US,,,,75208,TX,1101 West Davis Street,3.4,Bakery,"A cozy cafe specializing in freshly baked artisan bread, gourmet sandwiches, and handcrafted pastries. Favorites include the caprese panini, smoked salmon bagels, and warm apple tarts. A perfect spot for a relaxed brunch or coffee break.",,1,Basil Thyme Cafe,005Ws000003miUrIAI,,003Ws000008VfWwIAK,Active,5,17,Artisan Cafe
a09Ws00000AJiJ3IAL,001Ws00003av0RoIAI,Dallas,US,,,,75212,TX,320 Singleton Boulevard,3.8,Farm-to-Table,"Harvest Grill celebrates fresh, locally sourced ingredients with a menu featuring roasted vegetable medleys, herb-crusted chicken, and hearty grain bowls. A farm-to-table favorite offering rustic, flavorful meals in a cozy setting.",,1,Harvest Grill,005Ws000003miUrIAI,,003Ws000008VfX1IAK,Active,4,15,Rustic Eatery
a09Ws00000AJiJ4IAL,001Ws00003av0RpIAI,Dallas,US,,,,75204,TX,3839 McKinney Avenue,3.8,Steakhouse,"A classic steakhouse experience with a modern twist, serving premium cuts like filet mignon, ribeye, and lamb chops. Pair your meal with signature sides like truffle mashed potatoes or grilled asparagus. Ideal for steak lovers and fine dining enthusiasts.",,1,Epicurean Flame,005Ws000003miUrIAI,,003Ws000008VfWyIAK,Active,6,23,Classic Grill
a09Ws00000AJixFIAT,001Ws00003av0RgIAI,Dallas,US,,,,75219,TX,2401 Victory Avenue,4,Various,"Located in the heart of downtown Dallas, Urban Table serves elevated favorites like pan-roasted chicken, crab cakes, and spinach-stuffed ravioli. Perfect for business lunches or elegant evenings in the city.",,2,Urban Table Downtown,005Ws000003miUrIAI,,003Ws000008VfX4IAK,Active,7,28,Restaurant
a09Ws00000AJixGIAT,001Ws00003av0RgIAI,Dallas,US,,,,75226,TX,101 Deep Ellum Blvd,3,Various,"Urban Table Deep Ellum combines bold flavors and a lively atmosphere with dishes like blackened shrimp pasta, artisan flatbreads, and fresh ceviche. A trendy dining spot in one of Dallas’ most vibrant neighborhoods.",,1,Urban Table Deep Ellum,005Ws000003miUrIAI,,003Ws000008VfX4IAK,Active,3,9,Restaurant
a09Ws00000AJixHIAT,001Ws00003av0RgIAI,Dallas,US,,,,75201,TX,500 Uptown Blvd,3.8,Various,"In Uptown Dallas, Urban Table offers an upscale menu featuring filet mignon, seared scallops, and decadent chocolate lava cake. Ideal for a refined dining experience in one of the city’s chicest neighborhoods.",,2,Urban Table Uptown,005Ws000003miUrIAI,,003Ws000008VfX4IAK,Active,4,15,Restaurant
a09Ws00000AJixIIAT,001Ws00003av0RhIAI,Dallas,US,,,,75208,TX,456 Bishop Arts Ave,3.3,Various,"Located in the eclectic Bishop Arts District, The Savory Spot serves elevated comfort food such as loaded baked potatoes, braised beef brisket, and indulgent bread pudding. A cozy spot to enjoy timeless favorites.",,1,The Savory Spot Bishop Arts,005Ws000003miUrIAI,,003Ws000008VfX3IAK,Active,4,13,Restaurant
a09Ws00000AJixJIAT,001Ws00003av0RhIAI,Dallas,US,,,,75201,TX,333 Uptown St,2.6,Various,"In the stylish Uptown area, The Savory Spot delivers classic comfort food with dishes like chicken and waffles, shepherd’s pie, and decadent pecan pie. Great for relaxed dining in a modern, chic environment.",,1,The Savory Spot Uptown,005Ws000003miUrIAI,,003Ws000008VfX3IAK,Active,5,13,Restaurant
a09Ws00000AJixKIAT,001Ws00003av0RiIAI,Dallas,US,,,,75205,TX,789 Knox Blvd,2.8,Various,"Located in the heart of Knox-Henderson, Fusion Bites offers an exciting menu featuring spicy shrimp tacos, banh mi sandwiches, and Japanese-inspired rice bowls. A great spot for foodies seeking creative global dishes.",,1,Fusion Bites Knox-Henderson,005Ws000003miUrIAI,,003Ws000008VfWxIAK,Active,6,17,Restaurant
a09Ws00000AJixLIAT,001Ws00003av0RiIAI,Dallas,US,,,,75219,TX,110 Oak Lawn Blvd,2,Various,"Bringing its signature fusion cuisine to Oak Lawn, Fusion Bites serves crowd favorites like miso-glazed salmon, tikka masala flatbreads, and sesame-crusted chicken. A vibrant destination for those who love innovative dining.",,1,Fusion Bites Oak Lawn,005Ws000003miUrIAI,,003Ws000008VfWxIAK,Active,2,4,Restaurant
a09Ws00000AJixMIAT,001Ws00003av0RlIAI,Dallas,US,,,,75212,TX,303 Trinity Groves St,3,Various,"Located in the scenic Trinity Groves area, Munch Central offers everything from crispy fried chicken to freshly rolled sushi. Enjoy panoramic views of the Dallas skyline while sampling the best local eats.",,1,Munch Central Trinity Groves,005Ws000003miUrIAI,,003Ws000008VfX2IAK,Active,3,9,Restaurant
a09Ws00000AJixNIAT,001Ws00003av0RlIAI,Dallas,US,,,,75204,TX,202 Knox-Henderson Blvd,4,Various,"Nestled in the lively Knox-Henderson area, Munch Central features diverse dishes like artisan tacos, loaded fries, and handcrafted pastas. A bustling hub for quick bites or leisurely meals with friends.",,1,Munch Central Knox-Henderson,005Ws000003miUrIAI,,003Ws000008VfX2IAK,Active,2,8,Restaurant
