Id,Comments__c,Customer__c,LastActivityDate,Name,Order_Date__c,Rating__c,Storefront__c
a06Ws000007BUyZIAW,This restaurant exceeded my expectations. The creative dishes and cozy ambiance made for an unforgettable experience. The staff were attentive and the food was cooked to perfection.,003Ws000008YFFGIA4,,R-00000000,2024-12-30,2,a09Ws00000AJiJ1IAL
a06Ws000007BUyaIAG,"The atmosphere was lovely, but the food didn't live up to the hype. The service was rushed and not very attentive. I expected more given the reviews.",003Ws000008YGpHIAW,,R-00000001,2024-12-23,5,a09Ws00000AJixFIAT
a06Ws000007BUybIAG,This restaurant exceeded my expectations. The creative dishes and cozy ambiance made for an unforgettable experience. The staff were attentive and the food was cooked to perfection.,003Ws000008YGpdIAG,,R-00000002,2024-12-17,1,a09Ws00000AJixOIAT
a06Ws000007BUycIAG,"A delightful dining experience! The ingredients were fresh, the presentation was beautiful, and the service was impeccable. Highly recommend this place to food lovers.",003Ws000008YGpbIAG,,R-00000003,2025-01-10,4,a09Ws00000AJiJ0IAL
a06Ws000007BUyeIAG,Such a gem of a place! The flavors were unique and the dishes were prepared with great attention to detail. The service was outstanding as well.,003Ws000008YFFoIAO,,R-00000005,2024-12-21,3,a09Ws00000AJiJ3IAL
a06Ws000007BUyfIAG,"The food was absolutely amazing, with flavors that burst in every bite. The staff were friendly and made the experience even better. I can't wait to come back!",003Ws000008YFG1IAO,,R-00000006,2025-01-20,5,a09Ws00000AJixPIAT
a06Ws000007BUygIAG,"The food was absolutely amazing, with flavors that burst in every bite. The staff were friendly and made the experience even better. I can't wait to come back!",003Ws000008YFEaIAO,,R-00000007,2024-12-22,2,a09Ws00000AJixHIAT
a06Ws000007BUyhIAG,Such a gem of a place! The flavors were unique and the dishes were prepared with great attention to detail. The service was outstanding as well.,003Ws000008YGpnIAG,,R-00000008,2024-12-23,2,a09Ws00000AJixIIAT
a06Ws000007BUyiIAG,"The food was underwhelming and lacked flavor. The service was slow, and the overall experience left much to be desired. I wouldn't recommend it.",003Ws000008YGowIAG,,R-00000009,2025-01-10,5,a09Ws00000AJiIyIAL
a06Ws000007BUyjIAG,"I was disappointed by the overall quality. The flavors were bland, and the service could use significant improvement. It was a mediocre experience.",003Ws000008YGowIAG,,R-00000010,2024-12-26,3,a09Ws00000AJixFIAT
a06Ws000007BUykIAG,"Not the best experience. The meal arrived cold, and the staff seemed inattentive. The ambiance was nice, but the food didn't meet my expectations.",003Ws000008YFEaIAO,,R-00000011,2025-01-20,3,a09Ws00000AJiIxIAL
a06Ws000007BUylIAG,"The food was absolutely amazing, with flavors that burst in every bite. The staff were friendly and made the experience even better. I can't wait to come back!",003Ws000008YFEaIAO,,R-00000012,2025-01-16,2,a09Ws00000AJixOIAT
a06Ws000007BUymIAG,Such a gem of a place! The flavors were unique and the dishes were prepared with great attention to detail. The service was outstanding as well.,003Ws000008YGpEIAW,,R-00000013,2024-12-16,4,a09Ws00000AJixJIAT
a06Ws000007BUyoIAG,This restaurant exceeded my expectations. The creative dishes and cozy ambiance made for an unforgettable experience. The staff were attentive and the food was cooked to perfection.,003Ws000008YFFGIA4,,R-00000015,2024-12-22,5,a09Ws00000AJixPIAT
a06Ws000007BUypIAG,"The food was underwhelming and lacked flavor. The service was slow, and the overall experience left much to be desired. I wouldn't recommend it.",003Ws000008YFF6IAO,,R-00000016,2024-12-31,1,a09Ws00000AJixJIAT
a06Ws000007BUyqIAG,"I was blown away by the variety and quality of the meals. The atmosphere was warm and welcoming, and every dish we tried was a hit. Definitely one of my favorite spots!",003Ws000008YG3RIAW,,R-00000017,2024-12-13,2,a09Ws00000AJiIzIAL
a06Ws000007BUyrIAG,"The food was underwhelming and lacked flavor. The service was slow, and the overall experience left much to be desired. I wouldn't recommend it.",003Ws000008YFF3IAO,,R-00000018,2024-12-14,1,a09Ws00000AJiJ2IAL
a06Ws000007BUysIAG,"I was blown away by the variety and quality of the meals. The atmosphere was warm and welcoming, and every dish we tried was a hit. Definitely one of my favorite spots!",003Ws000008YFG8IAO,,R-00000019,2024-12-16,5,a09Ws00000AJixPIAT
a06Ws000007BUytIAG,"The food was absolutely amazing, with flavors that burst in every bite. The staff were friendly and made the experience even better. I can't wait to come back!",003Ws000008YGpEIAW,,R-00000020,2025-01-21,5,a09Ws00000AJixIIAT
a06Ws000007BUyuIAG,"The atmosphere was lovely, but the food didn't live up to the hype. The service was rushed and not very attentive. I expected more given the reviews.",003Ws000008YGpBIAW,,R-00000021,2024-12-25,5,a09Ws00000AJixHIAT
a06Ws000007BUywIAG,"The food was absolutely amazing, with flavors that burst in every bite. The staff were friendly and made the experience even better. I can't wait to come back!",003Ws000008YGpHIAW,,R-00000023,2024-12-26,3,a09Ws00000AJiIzIAL
a06Ws000007BUyxIAG,"Not the best experience. The meal arrived cold, and the staff seemed inattentive. The ambiance was nice, but the food didn't meet my expectations.",003Ws000008YFF3IAO,,R-00000024,2024-12-20,4,a09Ws00000AJixKIAT
a06Ws000007BUyyIAG,Such a gem of a place! The flavors were unique and the dishes were prepared with great attention to detail. The service was outstanding as well.,003Ws000008YGpEIAW,,R-00000025,2025-01-04,2,a09Ws00000AJixOIAT
a06Ws000007BUz0IAG,"A delightful dining experience! The ingredients were fresh, the presentation was beautiful, and the service was impeccable. Highly recommend this place to food lovers.",003Ws000008YFFoIAO,,R-00000027,2025-01-18,2,a09Ws00000AJiJ0IAL
a06Ws000007BUz1IAG,"I was blown away by the variety and quality of the meals. The atmosphere was warm and welcoming, and every dish we tried was a hit. Definitely one of my favorite spots!",003Ws000008YFF6IAO,,R-00000028,2024-12-22,4,a09Ws00000AJiIyIAL
a06Ws000007BUz2IAG,"A delightful dining experience! The ingredients were fresh, the presentation was beautiful, and the service was impeccable. Highly recommend this place to food lovers.",003Ws000008YGpvIAG,,R-00000029,2025-01-01,3,a09Ws00000AJiJ2IAL
a06Ws000007BUz3IAG,"I was disappointed by the overall quality. The flavors were bland, and the service could use significant improvement. It was a mediocre experience.",003Ws000008YFF6IAO,,R-00000030,2025-01-01,1,a09Ws00000AJiIxIAL
a06Ws000007BUz4IAG,"The food was absolutely amazing, with flavors that burst in every bite. The staff were friendly and made the experience even better. I can't wait to come back!",003Ws000008YGpnIAG,,R-00000031,2025-01-04,3,a09Ws00000AJixIIAT
a06Ws000007BUz5IAG,"A delightful dining experience! The ingredients were fresh, the presentation was beautiful, and the service was impeccable. Highly recommend this place to food lovers.",003Ws000008YGowIAG,,R-00000032,2025-01-08,1,a09Ws00000AJixOIAT
a06Ws000007BUz6IAG,Such a gem of a place! The flavors were unique and the dishes were prepared with great attention to detail. The service was outstanding as well.,003Ws000008YGpnIAG,,R-00000033,2025-01-12,2,a09Ws00000AJixKIAT
a06Ws000007BUz7IAG,"The restaurant had potential, but my meal fell short. The portions were small, and the food lacked the bold flavors I was expecting. Service was subpar too.",003Ws000008YGpdIAG,,R-00000034,2024-12-12,4,a09Ws00000AJiIxIAL
a06Ws000007BUz8IAG,Such a gem of a place! The flavors were unique and the dishes were prepared with great attention to detail. The service was outstanding as well.,003Ws000008YGpHIAW,,R-00000035,2025-01-18,3,a09Ws00000AJixFIAT
a06Ws000007BUzAIAW,Such a gem of a place! The flavors were unique and the dishes were prepared with great attention to detail. The service was outstanding as well.,003Ws000008YGowIAG,,R-00000037,2024-12-15,5,a09Ws00000AJiJ4IAL
a06Ws000007BUzCIAW,"I was disappointed by the overall quality. The flavors were bland, and the service could use significant improvement. It was a mediocre experience.",003Ws000008YFF6IAO,,R-00000039,2025-01-19,5,a09Ws00000AJiJ3IAL
a06Ws000007BUzDIAW,Such a gem of a place! The flavors were unique and the dishes were prepared with great attention to detail. The service was outstanding as well.,003Ws000008YFG1IAO,,R-00000040,2025-01-06,5,a09Ws00000AJixNIAT
a06Ws000007BUzEIAW,This restaurant exceeded my expectations. The creative dishes and cozy ambiance made for an unforgettable experience. The staff were attentive and the food was cooked to perfection.,003Ws000008YGpEIAW,,R-00000041,2024-12-26,3,a09Ws00000AJixLIAT
a06Ws000007BUzFIAW,"The food was absolutely amazing, with flavors that burst in every bite. The staff were friendly and made the experience even better. I can't wait to come back!",003Ws000008YGpHIAW,,R-00000042,2024-12-12,1,a09Ws00000AJixJIAT
a06Ws000007BUzGIAW,"A delightful dining experience! The ingredients were fresh, the presentation was beautiful, and the service was impeccable. Highly recommend this place to food lovers.",003Ws000008YFG8IAO,,R-00000043,2024-12-29,2,a09Ws00000AJiIzIAL
a06Ws000007BUzIIAW,Such a gem of a place! The flavors were unique and the dishes were prepared with great attention to detail. The service was outstanding as well.,003Ws000008YGpBIAW,,R-00000045,2024-12-31,3,a09Ws00000AJixKIAT
a06Ws000007BUzKIAW,"The food was absolutely amazing, with flavors that burst in every bite. The staff were friendly and made the experience even better. I can't wait to come back!",003Ws000008YGowIAG,,R-00000047,2025-01-17,1,a09Ws00000AJiJ4IAL
a06Ws000007BUzLIAW,"The food was absolutely amazing, with flavors that burst in every bite. The staff were friendly and made the experience even better. I can't wait to come back!",003Ws000008YFEaIAO,,R-00000048,2025-01-09,4,a09Ws00000AJiJ2IAL
a06Ws000007BUzMIAW,"The food was absolutely amazing, with flavors that burst in every bite. The staff were friendly and made the experience even better. I can't wait to come back!",003Ws000008YFEaIAO,,R-00000049,2024-12-31,3,a09Ws00000AJixJIAT
a06Ws000007BUzNIAW,"The food was absolutely amazing, with flavors that burst in every bite. The staff were friendly and made the experience even better. I can't wait to come back!",003Ws000008YFFoIAO,,R-00000050,2025-01-03,1,a09Ws00000AJixGIAT
a06Ws000007BUzOIAW,"The food was absolutely amazing, with flavors that burst in every bite. The staff were friendly and made the experience even better. I can't wait to come back!",003Ws000008YG3RIAW,,R-00000051,2025-01-16,4,a09Ws00000AJixGIAT
a06Ws000007BUzPIAW,"The atmosphere was lovely, but the food didn't live up to the hype. The service was rushed and not very attentive. I expected more given the reviews.",003Ws000008YGpvIAG,,R-00000052,2024-12-27,5,a09Ws00000AJiJ1IAL
a06Ws000007BUzQIAW,Such a gem of a place! The flavors were unique and the dishes were prepared with great attention to detail. The service was outstanding as well.,003Ws000008YGpvIAG,,R-00000053,2024-12-13,2,a09Ws00000AJixMIAT
a06Ws000007BUzRIAW,Such a gem of a place! The flavors were unique and the dishes were prepared with great attention to detail. The service was outstanding as well.,003Ws000008YGpxIAG,,R-00000054,2024-12-19,5,a09Ws00000AJiJ4IAL
a06Ws000007BUzTIAW,"The atmosphere was lovely, but the food didn't live up to the hype. The service was rushed and not very attentive. I expected more given the reviews.",003Ws000008YGpBIAW,,R-00000056,2024-12-30,4,a09Ws00000AJixJIAT
a06Ws000007BUzUIAW,This restaurant exceeded my expectations. The creative dishes and cozy ambiance made for an unforgettable experience. The staff were attentive and the food was cooked to perfection.,003Ws000008YGpnIAG,,R-00000057,2025-01-16,1,a09Ws00000AJiIxIAL
a06Ws000007BUzWIAW,"A delightful dining experience! The ingredients were fresh, the presentation was beautiful, and the service was impeccable. Highly recommend this place to food lovers.",003Ws000008YGpHIAW,,R-00000059,2024-12-12,5,a09Ws00000AJixHIAT
a06Ws000007BUzYIAW,"Not the best experience. The meal arrived cold, and the staff seemed inattentive. The ambiance was nice, but the food didn't meet my expectations.",003Ws000008YGpHIAW,,R-00000061,2024-12-24,3,a09Ws00000AJixIIAT
a06Ws000007BUzZIAW,"The food was underwhelming and lacked flavor. The service was slow, and the overall experience left much to be desired. I wouldn't recommend it.",003Ws000008YFEaIAO,,R-00000062,2025-01-02,3,a09Ws00000AJiIyIAL
a06Ws000007BUzaIAG,"The restaurant had potential, but my meal fell short. The portions were small, and the food lacked the bold flavors I was expecting. Service was subpar too.",003Ws000008YFF3IAO,,R-00000063,2025-01-11,3,a09Ws00000AJixNIAT
a06Ws000007BUzbIAG,"The atmosphere was lovely, but the food didn't live up to the hype. The service was rushed and not very attentive. I expected more given the reviews.",003Ws000008YFG1IAO,,R-00000064,2024-12-16,2,a09Ws00000AJiJ3IAL
a06Ws000007BUzcIAG,"Not the best experience. The meal arrived cold, and the staff seemed inattentive. The ambiance was nice, but the food didn't meet my expectations.",003Ws000008YFFoIAO,,R-00000065,2025-01-10,2,a09Ws00000AJiJ0IAL
a06Ws000007Be69IAC,"The restaurant had potential, but my meal fell short. The portions were small, and the food lacked the bold flavors I was expecting. Service was subpar too.",003Ws000008YGowIAG,,R-00000066,2025-01-14,1,a09Ws00000AJixOIAT
a06Ws000007Be6AIAS,This restaurant exceeded my expectations. The creative dishes and cozy ambiance made for an unforgettable experience. The staff were attentive and the food was cooked to perfection.,003Ws000008YFFoIAO,,R-00000067,2025-01-10,3,a09Ws00000AJixHIAT
a06Ws000007Be6BIAS,"The atmosphere was lovely, but the food didn't live up to the hype. The service was rushed and not very attentive. I expected more given the reviews.",003Ws000008YFG8IAO,,R-00000068,2024-12-18,1,a09Ws00000AJixLIAT
a06Ws000007Be6DIAS,"I was blown away by the variety and quality of the meals. The atmosphere was warm and welcoming, and every dish we tried was a hit. Definitely one of my favorite spots!",003Ws000008YFG8IAO,,R-00000070,2025-01-15,4,a09Ws00000AJiJ1IAL
a06Ws000007Be6EIAS,This restaurant exceeded my expectations. The creative dishes and cozy ambiance made for an unforgettable experience. The staff were attentive and the food was cooked to perfection.,003Ws000008YG3RIAW,,R-00000071,2025-01-21,5,a09Ws00000AJiJ0IAL
