Id,Available__c,Calories__c,Description__c,Image_URL__c,LastActivityDate,Menu__c,Menu_Category__c,Name,OwnerId,Price__c
a03Ws000008XEZ4IAO,true,,Smashed avocado on whole-grain bread with chili flakes.,,,a04Ws000000Jyi1IAC,a02Ws0000052oM1IAI,Avocado Toast,005Ws000003miUrIAI,12
a03Ws000008XEZ5IAO,true,,Filled with fresh vegetables and served with peanut sauce.,,,a04Ws000000Jyi1IAC,a02Ws0000052oM1IAI,Vegan Spring Rolls,005Ws000003miUrIAI,10
a03Ws000008XEZ6IAO,true,,"Quinoa, chickpeas, roasted vegetables, and tahini dressing.",,,a04Ws000000Jyi1IAC,a02Ws0000052oM2IAI,Vegan Buddha Bowl,005Ws000003miUrIAI,18
a03Ws000008XEZ7IAO,true,,Served with sweet potato fries and a side salad.,,,a04Ws000000Jyi1IAC,a02Ws0000052oM2IAI,Plant-Based Burger,005Ws000003miUrIAI,20
a03Ws000008XEZ8IAO,true,,Chilled chia pudding with almond milk and fresh berries.,,,a04Ws000000Jyi1IAC,a02Ws0000052oM3IAI,Chia Pudding,005Ws000003miUrIAI,8
a03Ws000008XEZ9IAO,true,,Rich chocolate cake made with plant-based ingredients.,,,a04Ws000000Jyi1IAC,a02Ws0000052oM3IAI,Vegan Chocolate Cake,005Ws000003miUrIAI,9
a03Ws000008XEZAIA4,true,,"Crispy nachos topped with cheese, jalapenos, and sour cream.",,,a04Ws000000Jyi2IAC,a02Ws0000052oM4IAI,Loaded Nachos,005Ws000003miUrIAI,14
a03Ws000008XEZBIA4,true,,Warm pretzel bites with a cheesy dipping sauce.,,,a04Ws000000Jyi2IAC,a02Ws0000052oM4IAI,Pretzel Bites,005Ws000003miUrIAI,10
a03Ws000008XEZCIA4,true,,"Juicy burger with cheddar, lettuce, and tomato.",,,a04Ws000000Jyi2IAC,a02Ws0000052oM5IAI,Classic Cheeseburger,005Ws000003miUrIAI,16
a03Ws000008XEZDIA4,true,,Served with coleslaw on a brioche bun.,,,a04Ws000000Jyi2IAC,a02Ws0000052oM5IAI,BBQ Pulled Pork Sandwich,005Ws000003miUrIAI,14
a03Ws000008XEZEIA4,true,,Warm cookie topped with vanilla ice cream.,,,a04Ws000000Jyi2IAC,a02Ws0000052oM6IAI,Chocolate Chip Cookie Skillet,005Ws000003miUrIAI,8
a03Ws000008XEZFIA4,true,,"Three mini milkshakes in chocolate, vanilla, and strawberry.",,,a04Ws000000Jyi2IAC,a02Ws0000052oM6IAI,Milkshake Trio,005Ws000003miUrIAI,12
a03Ws000008XEZGIA4,true,,"Bagel with cream cheese, smoked salmon, and capers.",,,a04Ws000000Jyi3IAC,a02Ws0000052oM7IAI,Smoked Salmon Bagel,005Ws000003miUrIAI,14
a03Ws000008XEZHIA4,true,,"Omelet with mozzarella, tomatoes, and basil.",,,a04Ws000000Jyi3IAC,a02Ws0000052oM7IAI,Caprese Omelet,005Ws000003miUrIAI,12
a03Ws000008XEZIIA4,true,,Served with a side salad.,,,a04Ws000000Jyi3IAC,a02Ws0000052oM8IAI,Turkey Pesto Panini,005Ws000003miUrIAI,15
a03Ws000008XEZJIA4,true,,"Whole wheat wrap with hummus, spinach, and roasted veggies.",,,a04Ws000000Jyi3IAC,a02Ws0000052oM8IAI,Veggie Wrap,005Ws000003miUrIAI,13
a03Ws000008XEZKIA4,true,,Served with a scoop of vanilla ice cream.,,,a04Ws000000Jyi3IAC,a02Ws0000052oM9IAI,Warm Apple Tart,005Ws000003miUrIAI,8
a03Ws000008XEZLIA4,true,,Flaky croissant filled with rich chocolate.,,,a04Ws000000Jyi3IAC,a02Ws0000052oM9IAI,Chocolate Croissant,005Ws000003miUrIAI,6
a03Ws000008XEZMIA4,true,,"Crispy bread topped with fresh tomatoes, basil, and balsamic glaze.",,,a04Ws000000Jyi4IAC,a02Ws0000052oMAIAY,Farm Fresh Bruschetta,005Ws000003miUrIAI,10
a03Ws000008XEZNIA4,true,,Golden fritters served with a spicy aioli.,,,a04Ws000000Jyi4IAC,a02Ws0000052oMAIAY,Sweet Potato Fritters,005Ws000003miUrIAI,12
a03Ws000008XEZOIA4,true,,Served with roasted vegetables and mashed potatoes.,,,a04Ws000000Jyi4IAC,a02Ws0000052oMBIAY,Herb-Crusted Chicken,005Ws000003miUrIAI,22
a03Ws000008XEZPIA4,true,,"Quinoa, roasted sweet potatoes, kale, and a citrus dressing.",,,a04Ws000000Jyi4IAC,a02Ws0000052oMBIAY,Quinoa Power Bowl,005Ws000003miUrIAI,18
a03Ws000008XEZQIA4,true,,Warm apple crumble with a scoop of vanilla ice cream.,,,a04Ws000000Jyi4IAC,a02Ws0000052oMCIAY,Apple Crumble,005Ws000003miUrIAI,8
a03Ws000008XEZRIA4,true,,Crisp tart filled with fresh seasonal berries.,,,a04Ws000000Jyi4IAC,a02Ws0000052oMCIAY,Seasonal Berry Tart,005Ws000003miUrIAI,9
a03Ws000008XJ0sIAG,true,,Pan-seared scallops served with a lemon beurre blanc and microgreens.,,,a04Ws000000JyJpIAK,a02Ws0000052lXpIAI,Seared Scallops,005Ws000003miUrIAI,18
a03Ws000008XJ0tIAG,true,,"Rich and creamy soup made with wild mushrooms, drizzled with truffle oil.",,,a04Ws000000JyJpIAK,a02Ws0000052lXpIAI,Truffle Mushroom Soup,005Ws000003miUrIAI,14
a03Ws000008XJ0uIAG,true,,Creamy burrata cheese with heirloom tomatoes and a balsamic reduction.,,,a04Ws000000JyJpIAK,a02Ws0000052lXpIAI,Burrata & Heirloom Tomatoes,005Ws000003miUrIAI,15
a03Ws000008XJ0vIAG,true,,Grilled 8 oz. filet mignon with garlic mashed potatoes and red wine reduction.,,,a04Ws000000JyJpIAK,a02Ws0000052lXqIAI,Filet Mignon,005Ws000003miUrIAI,48
a03Ws000008XJ0wIAG,true,,Pan-seared Chilean sea bass with wild rice and seasonal vegetables.,,,a04Ws000000JyJpIAK,a02Ws0000052lXqIAI,Seared Sea Bass,005Ws000003miUrIAI,42
a03Ws000008XJ0xIAG,true,,Creamy Arborio rice with wild mushrooms and parmesan.,,,a04Ws000000JyJpIAK,a02Ws0000052lXqIAI,Wild Mushroom Risotto,005Ws000003miUrIAI,32
a03Ws000008XJ0yIAG,true,,"Warm chocolate cake with a gooey center, served with vanilla bean ice cream.",,,a04Ws000000JyJpIAK,a02Ws0000052lXrIAI,Chocolate Lava Cake,005Ws000003miUrIAI,12
a03Ws000008XJ0zIAG,true,,Classic French custard with a caramelized sugar crust and fresh berries.,,,a04Ws000000JyJpIAK,a02Ws0000052lXrIAI,Crème Brûlée,005Ws000003miUrIAI,10
a03Ws000008XMd3IAG,true,,"Fresh mozzarella, tomatoes, and basil drizzled with balsamic glaze.",,,a04Ws000000JyN3IAK,a02Ws0000052m5hIAA,Caprese Salad,005Ws000003miUrIAI,14
a03Ws000008XMd4IAG,true,,"Portobello mushrooms filled with spinach, ricotta, and breadcrumbs.",,,a04Ws000000JyN3IAK,a02Ws0000052m5hIAA,Stuffed Mushrooms,005Ws000003miUrIAI,12
a03Ws000008XMd5IAG,true,,12 oz. ribeye steak with roasted potatoes and grilled broccolini.,,,a04Ws000000JyN3IAK,a02Ws0000052m5iIAA,Grilled Ribeye,005Ws000003miUrIAI,42
a03Ws000008XMd6IAG,true,,"Creamy risotto with wild mushrooms, parmesan, and truffle oil.",,,a04Ws000000JyN3IAK,a02Ws0000052m5iIAA,Wild Mushroom Risotto,005Ws000003miUrIAI,32
a03Ws000008XMd7IAG,true,,Rich chocolate torte with a hint of espresso and whipped cream.,,,a04Ws000000JyN3IAK,a02Ws0000052m5jIAA,Chocolate Torte,005Ws000003miUrIAI,14
a03Ws000008XMd8IAG,true,,Three scoops of artisan gelato in classic Italian flavors.,,,a04Ws000000JyN3IAK,a02Ws0000052m5jIAA,Gelato Trio,005Ws000003miUrIAI,12
a03Ws000008XMd9IAG,true,,Golden crab cakes served with remoulade sauce and a side of fresh greens.,,,a04Ws000000JyN4IAK,a02Ws0000052m5kIAA,Pan-Roasted Crab Cakes,005Ws000003miUrIAI,20
a03Ws000008XMdAIAW,true,,"Garlic butter shrimp on toasted baguette slices, topped with basil and parmesan.",,,a04Ws000000JyN4IAK,a02Ws0000052m5kIAA,Garlic Shrimp Bruschetta,005Ws000003miUrIAI,15
a03Ws000008XMdBIAW,true,,Fresh tuna tartare served with wonton crisps and a sesame soy glaze.,,,a04Ws000000JyN4IAK,a02Ws0000052m5kIAA,Ahi Tuna Tartare,005Ws000003miUrIAI,18
a03Ws000008XMdCIAW,true,,Juicy chicken breast with creamy mashed potatoes and grilled asparagus.,,,a04Ws000000JyN4IAK,a02Ws0000052m5lIAA,Pan-Roasted Chicken,005Ws000003miUrIAI,28
a03Ws000008XMdDIAW,true,,"House-made ravioli filled with spinach and ricotta, served with marinara sauce.",,,a04Ws000000JyN4IAK,a02Ws0000052m5lIAA,Spinach-Stuffed Ravioli,005Ws000003miUrIAI,24
a03Ws000008XMdEIAW,true,,Espresso-soaked ladyfingers layered with mascarpone cream.,,,a04Ws000000JyN4IAK,a02Ws0000052m5mIAA,Classic Tiramisu,005Ws000003miUrIAI,12
a03Ws000008XMdFIAW,true,,Rich chocolate custard with whipped cream and a hint of orange.,,,a04Ws000000JyN4IAK,a02Ws0000052m5mIAA,Chocolate Pot de Crème,005Ws000003miUrIAI,12
a03Ws000008XMdGIAW,true,,Citrus-marinated shrimp and fish served with avocado and tortilla chips.,,,a04Ws000000JyN5IAK,a02Ws0000052m5nIAA,Fresh Ceviche,005Ws000003miUrIAI,18
a03Ws000008XMdHIAW,true,,"Crispy flatbread topped with caramelized onions, prosciutto, and arugula.",,,a04Ws000000JyN5IAK,a02Ws0000052m5nIAA,Artisan Flatbread,005Ws000003miUrIAI,16
a03Ws000008XMdIIAW,true,,Linguine tossed in a Cajun cream sauce with blackened shrimp and fresh herbs.,,,a04Ws000000JyN5IAK,a02Ws0000052m5oIAA,Blackened Shrimp Pasta,005Ws000003miUrIAI,30
a03Ws000008XMdJIAW,true,,"Grilled salmon, avocado crema, and mango salsa in warm corn tortillas.",,,a04Ws000000JyN5IAK,a02Ws0000052m5oIAA,Grilled Salmon Tacos,005Ws000003miUrIAI,26
a03Ws000008XMdKIAW,true,,Classic cheesecake with a raspberry swirl and graham cracker crust.,,,a04Ws000000JyN5IAK,a02Ws0000052m5pIAA,Deep Ellum Cheesecake,005Ws000003miUrIAI,14
a03Ws000008XMdLIAW,true,,"Bananas sautéed in rum and brown sugar, served over vanilla ice cream.",,,a04Ws000000JyN5IAK,a02Ws0000052m5pIAA,Fried Banana Foster,005Ws000003miUrIAI,14
a03Ws000008XS0xIAG,true,,"Diced tuna with avocado, spicy mayo, and wonton crisps.",,,a04Ws000000JygPIAS,a02Ws0000052oCLIAY,Spicy Tuna Tartare,005Ws000003miUrIAI,14
a03Ws000008XS0yIAG,true,,Crispy chicken wings tossed in a tangy Korean BBQ sauce.,,,a04Ws000000JygPIAS,a02Ws0000052oCLIAY,Korean BBQ Wings,005Ws000003miUrIAI,12
a03Ws000008XS0zIAG,true,,"Pork belly, soft-boiled egg, and scallions in a rich miso broth.",,,a04Ws000000JygPIAS,a02Ws0000052oCMIAY,Japanese Ramen,005Ws000003miUrIAI,16
a03Ws000008XS10IAG,true,,Creamy tomato-based curry served with basmati rice.,,,a04Ws000000JygPIAS,a02Ws0000052oCMIAY,Indian Butter Chicken,005Ws000003miUrIAI,18
a03Ws000008XS11IAG,true,,"Turkey, avocado, bacon, lettuce, and tomato on artisan bread.",,,a04Ws000000JygQIAS,a02Ws0000052oCNIAY,Turkey Avocado Club,005Ws000003miUrIAI,12
a03Ws000008XS12IAG,true,,"Ham, salami, and provolone with lettuce, tomato, and Italian dressing.",,,a04Ws000000JygQIAS,a02Ws0000052oCNIAY,Italian Hoagie,005Ws000003miUrIAI,11
a03Ws000008XS13IAG,true,,"Rich tomato soup with fresh basil, served with crackers.",,,a04Ws000000JygQIAS,a02Ws0000052oCOIAY,Creamy Tomato Basil Soup,005Ws000003miUrIAI,8
a03Ws000008XS14IAG,true,,Classic chicken noodle soup with a hearty broth.,,,a04Ws000000JygQIAS,a02Ws0000052oCOIAY,Chicken Noodle Soup,005Ws000003miUrIAI,8
a03Ws000008XS15IAG,true,,Rich lobster bisque with a hint of sherry.,,,a04Ws000000JygRIAS,a02Ws0000052oCPIAY,Lobster Bisque,005Ws000003miUrIAI,18
a03Ws000008XS16IAG,true,,"Mixed greens with duck confit, candied walnuts, and a raspberry vinaigrette.",,,a04Ws000000JygRIAS,a02Ws0000052oCPIAY,Duck Confit Salad,005Ws000003miUrIAI,20
a03Ws000008XS17IAG,true,,Seared scallops on a bed of saffron risotto.,,,a04Ws000000JygRIAS,a02Ws0000052oCQIAY,Seared Scallops,005Ws000003miUrIAI,38
a03Ws000008XS18IAG,true,,Slow-braised short ribs served with creamy polenta.,,,a04Ws000000JygRIAS,a02Ws0000052oCQIAY,Braised Short Ribs,005Ws000003miUrIAI,36
